Date : 2021-10-19 17:29:36
Directory : /Users/adamspice/projects/spiceydev
Total : 222 files,  44004 codes, 614 comments, 748 blanks, all 45366 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| libs/users/src/lib                                                                                                      |         19 |        616 |         10 |        134 |        760 |
| libs/users/src/lib/models                                                                                               |          1 |         14 |          0 |          1 |         15 |
| libs/users/src/lib/pages                                                                                                |          2 |         92 |          0 |         10 |        102 |
| libs/users/src/lib/pages/login                                                                                          |          2 |         92 |          0 |         10 |        102 |
| libs/users/src/lib/services                                                                                             |          5 |        181 |          0 |         38 |        219 |
| libs/users/src/lib/state                                                                                                |         10 |        296 |         10 |         82 |        388 |
| styles                                                                                                                  |         28 |        533 |          9 |        109 |        651 |
| styles/apps                                                                                                             |          7 |        141 |          0 |         32 |        173 |
| styles/apps/admin                                                                                                       |          2 |         89 |          0 |         20 |        109 |
| styles/apps/shop                                                                                                        |          5 |         52 |          0 |         12 |         64 |
| styles/apps/shop/pages                                                                                                  |          2 |          0 |          0 |          2 |          2 |
| styles/apps/shop/shared                                                                                                 |          3 |         52 |          0 |         10 |         62 |
| styles/base                                                                                                             |          4 |         16 |          0 |          5 |         21 |
| styles/libs                                                                                                             |         15 |        339 |          0 |         60 |        399 |
| styles/libs/orders                                                                                                      |          4 |        110 |          0 |         20 |        130 |
| styles/libs/products                                                                                                    |          6 |        146 |          0 |         26 |        172 |
| styles/libs/ui                                                                                                          |          3 |         67 |          0 |         11 |         78 |
| styles/libs/users                                                                                                       |          2 |         16 |          0 |          3 |         19 |
| tools                                                                                                                   |          1 |         11 |          2 |          0 |         13 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/adamspice/projects/spiceydev/.eslintrc-custom-overrides.json                                                     | JSON       |         11 |          0 |          1 |         12 |
| /Users/adamspice/projects/spiceydev/.eslintrc.json                                                                      | JSON       |          3 |         41 |          0 |         44 |
| /Users/adamspice/projects/spiceydev/.prettierignore                                                                     | Ignore     |          2 |          1 |          2 |          5 |
| /Users/adamspice/projects/spiceydev/.prettierrc                                                                         | JSON       |          8 |          0 |          1 |          9 |
| /Users/adamspice/projects/spiceydev/README.md                                                                           | Markdown   |         55 |          0 |         51 |        106 |
| /Users/adamspice/projects/spiceydev/angular.json                                                                        | JSON       |        413 |          0 |          1 |        414 |
| /Users/adamspice/projects/spiceydev/apps/admin-e2e/.eslintrc.json                                                       | JSON       |          3 |         18 |          0 |         21 |
| /Users/adamspice/projects/spiceydev/apps/admin-e2e/cypress.json                                                         | JSON       |         12 |          0 |          1 |         13 |
| /Users/adamspice/projects/spiceydev/apps/admin-e2e/src/fixtures/example.json                                            | JSON       |          4 |          0 |          1 |          5 |
| /Users/adamspice/projects/spiceydev/apps/admin-e2e/src/integration/app.spec.ts                                          | TypeScript |          8 |          2 |          4 |         14 |
| /Users/adamspice/projects/spiceydev/apps/admin-e2e/src/plugins/index.js                                                 | JavaScript |          4 |         14 |          5 |         23 |
| /Users/adamspice/projects/spiceydev/apps/admin-e2e/src/support/app.po.ts                                                | TypeScript |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/apps/admin-e2e/src/support/commands.ts                                              | TypeScript |          8 |         24 |          2 |         34 |
| /Users/adamspice/projects/spiceydev/apps/admin-e2e/src/support/index.ts                                                 | TypeScript |          1 |         15 |          2 |         18 |
| /Users/adamspice/projects/spiceydev/apps/admin-e2e/tsconfig.e2e.json                                                    | JSON       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/apps/admin-e2e/tsconfig.json                                                        | JSON       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/apps/admin/.eslintrc.json                                                           | JSON       |          3 |         37 |          0 |         40 |
| /Users/adamspice/projects/spiceydev/apps/admin/jest.config.js                                                           | JavaScript |         23 |          0 |          1 |         24 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/app-routing.module.ts                                            | TypeScript |         77 |          0 |          3 |         80 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/app.component.html                                               | HTML       |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/app.component.spec.ts                                            | TypeScript |         29 |          0 |          5 |         34 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/app.component.ts                                                 | TypeScript |          8 |          0 |          2 |         10 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/app.module.ts                                                    | TypeScript |         96 |          0 |          4 |        100 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/categories/categories-form/categories-form.component.html  | HTML       |         40 |          0 |          1 |         41 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/categories/categories-form/categories-form.component.ts    | TypeScript |        130 |          0 |         12 |        142 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/categories/categories-list/categories-list.component.html  | HTML       |         46 |          0 |          1 |         47 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/categories/categories-list/categories-list.component.ts    | TypeScript |         68 |          0 |          6 |         74 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/dashboard/dashboard.component.html                         | HTML       |         50 |          0 |          1 |         51 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/dashboard/dashboard.component.ts                           | TypeScript |         35 |          0 |          5 |         40 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/orders/orders-detail/orders-detail.component.html          | HTML       |         75 |          0 |          7 |         82 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/orders/orders-detail/orders-detail.component.ts            | TypeScript |         72 |          0 |          8 |         80 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/orders/orders-list/orders-list.component.html              | HTML       |         43 |          0 |          1 |         44 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/orders/orders-list/orders-list.component.ts                | TypeScript |         69 |          0 |          7 |         76 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/products/products-form/products-form.component.html        | HTML       |         85 |          0 |          3 |         88 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/products/products-form/products-form.component.ts          | TypeScript |        183 |          0 |         13 |        196 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/products/products-list/products-list.component.html        | HTML       |         60 |          0 |          1 |         61 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/products/products-list/products-list.component.ts          | TypeScript |         68 |          0 |          8 |         76 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/users/users-form/users-form.component.html                 | HTML       |         75 |          0 |          2 |         77 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/users/users-form/users-form.component.ts                   | TypeScript |        145 |          0 |         13 |        158 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/users/users-list/users-list.component.html                 | HTML       |         48 |          0 |          1 |         49 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/pages/users/users-list/users-list.component.ts                   | TypeScript |         71 |          0 |          9 |         80 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/shared/shell/shell.component.html                                | HTML       |          6 |          0 |          1 |          7 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/shared/shell/shell.component.ts                                  | TypeScript |          8 |          0 |          2 |         10 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/shared/sidebar/sidebar.component.html                            | HTML       |         27 |          0 |          1 |         28 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/app/shared/sidebar/sidebar.component.ts                              | TypeScript |         12 |          0 |          3 |         15 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/index.html                                                           | HTML       |         13 |          0 |          1 |         14 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/main.ts                                                              | TypeScript |         10 |          0 |          4 |         14 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/polyfills.ts                                                         | TypeScript |          1 |         55 |          7 |         63 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/styles.scss                                                          | SCSS       |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/apps/admin/src/test-setup.ts                                                        | TypeScript |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/apps/admin/tsconfig.app.json                                                        | JSON       |          8 |          0 |          1 |          9 |
| /Users/adamspice/projects/spiceydev/apps/admin/tsconfig.editor.json                                                     | JSON       |          3 |          5 |          0 |          8 |
| /Users/adamspice/projects/spiceydev/apps/admin/tsconfig.json                                                            | JSON       |         16 |          0 |          1 |         17 |
| /Users/adamspice/projects/spiceydev/apps/admin/tsconfig.spec.json                                                       | JSON       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/apps/ngshop-e2e/.eslintrc.json                                                      | JSON       |          3 |         18 |          0 |         21 |
| /Users/adamspice/projects/spiceydev/apps/ngshop-e2e/cypress.json                                                        | JSON       |         12 |          0 |          1 |         13 |
| /Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/fixtures/example.json                                           | JSON       |          4 |          0 |          1 |          5 |
| /Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/integration/app.spec.ts                                         | TypeScript |          8 |          2 |          4 |         14 |
| /Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/plugins/index.js                                                | JavaScript |          4 |         14 |          5 |         23 |
| /Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/support/app.po.ts                                               | TypeScript |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/support/commands.ts                                             | TypeScript |          8 |         24 |          2 |         34 |
| /Users/adamspice/projects/spiceydev/apps/ngshop-e2e/src/support/index.ts                                                | TypeScript |          1 |         15 |          2 |         18 |
| /Users/adamspice/projects/spiceydev/apps/ngshop-e2e/tsconfig.e2e.json                                                   | JSON       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/apps/ngshop-e2e/tsconfig.json                                                       | JSON       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/.eslintrc.json                                                          | JSON       |          3 |         37 |          0 |         40 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/jest.config.js                                                          | JavaScript |         23 |          0 |          1 |         24 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/app.component.html                                              | HTML       |          6 |          0 |          1 |          7 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/app.component.spec.ts                                           | TypeScript |         27 |          0 |          5 |         32 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/app.component.ts                                                | TypeScript |         13 |          0 |          3 |         16 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/app.module.ts                                                   | TypeScript |         54 |          0 |          3 |         57 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/pages/home-page/home-page.component.html                        | HTML       |          3 |          0 |          1 |          4 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/pages/home-page/home-page.component.spec.ts                     | TypeScript |         20 |          0 |          6 |         26 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/pages/home-page/home-page.component.ts                          | TypeScript |          6 |          0 |          2 |          8 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/footer/footer.component.html                             | HTML       |         18 |          0 |          1 |         19 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/footer/footer.component.ts                               | TypeScript |          6 |          0 |          2 |          8 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/header/header.component.html                             | HTML       |         19 |          0 |          1 |         20 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/header/header.component.spec.ts                          | TypeScript |         20 |          0 |          6 |         26 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/header/header.component.ts                               | TypeScript |          6 |          0 |          2 |          8 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/messages/messages.component.html                         | HTML       |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/messages/messages.component.ts                           | TypeScript |         23 |          0 |          3 |         26 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/nav/nav.component.html                                   | HTML       |          5 |          0 |          1 |          6 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/app/shared/nav/nav.component.ts                                     | TypeScript |         12 |          0 |          5 |         17 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/assets/images/banner-image.svg                                      | XML        |        170 |          0 |          1 |        171 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/environments/environment.prod.ts                                    | TypeScript |          3 |          0 |          1 |          4 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/environments/environment.ts                                         | TypeScript |          3 |         11 |          3 |         17 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/index.html                                                          | HTML       |         13 |          0 |          1 |         14 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/main.ts                                                             | TypeScript |         10 |          0 |          4 |         14 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/polyfills.ts                                                        | TypeScript |          1 |         55 |          7 |         63 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/styles.scss                                                         | SCSS       |          1 |          1 |          1 |          3 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/src/test-setup.ts                                                       | TypeScript |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/tsconfig.app.json                                                       | JSON       |          8 |          0 |          1 |          9 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/tsconfig.editor.json                                                    | JSON       |          3 |          5 |          0 |          8 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/tsconfig.json                                                           | JSON       |         16 |          0 |          1 |         17 |
| /Users/adamspice/projects/spiceydev/apps/ngshop/tsconfig.spec.json                                                      | JSON       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/decorate-angular-cli.js                                                             | JavaScript |         35 |         31 |          4 |         70 |
| /Users/adamspice/projects/spiceydev/environments/environment.prod.ts                                                    | TypeScript |          4 |          0 |          1 |          5 |
| /Users/adamspice/projects/spiceydev/environments/environment.ts                                                         | TypeScript |          6 |         11 |          3 |         20 |
| /Users/adamspice/projects/spiceydev/jest.config.js                                                                      | JavaScript |          4 |          0 |          2 |          6 |
| /Users/adamspice/projects/spiceydev/jest.preset.js                                                                      | JavaScript |          2 |          0 |          2 |          4 |
| /Users/adamspice/projects/spiceydev/libs/orders/.eslintrc.json                                                          | JSON       |          3 |         37 |          0 |         40 |
| /Users/adamspice/projects/spiceydev/libs/orders/README.md                                                               | Markdown   |          4 |          0 |          4 |          8 |
| /Users/adamspice/projects/spiceydev/libs/orders/jest.config.js                                                          | JavaScript |         23 |          0 |          1 |         24 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/index.ts                                                            | TypeScript |          7 |          0 |          1 |          8 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/components/cart-icon/cart-icon.component.html                   | HTML       |          2 |          0 |          1 |          3 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/components/cart-icon/cart-icon.component.ts                     | TypeScript |         16 |          0 |          3 |         19 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/components/order-summary/order-summary.component.html           | HTML       |         20 |          0 |          1 |         21 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/components/order-summary/order-summary.component.ts             | TypeScript |         61 |          0 |          6 |         67 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/models/cart.ts                                                  | TypeScript |         12 |          0 |          3 |         15 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/models/order-item.ts                                            | TypeScript |          5 |          0 |          1 |          6 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/models/order.ts                                                 | TypeScript |         15 |          0 |          2 |         17 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/order.constants.ts                                              | TypeScript |         22 |          0 |          1 |         23 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/orders.module.ts                                                | TypeScript |         60 |          0 |          1 |         61 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/cart-page/cart-page.component.html                        | HTML       |         58 |          0 |          1 |         59 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/cart-page/cart-page.component.ts                          | TypeScript |         62 |          0 |          7 |         69 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/checkout-page/checkout-page.component.html                | HTML       |         64 |          0 |          1 |         65 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/checkout-page/checkout-page.component.ts                  | TypeScript |        117 |          0 |         14 |        131 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/thank-you/thank-you.component.html                        | HTML       |          7 |          0 |          1 |          8 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/pages/thank-you/thank-you.component.ts                          | TypeScript |         22 |          0 |          3 |         25 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/services/cart.service.ts                                        | TypeScript |         68 |          0 |         13 |         81 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/lib/services/orders.service.ts                                      | TypeScript |         74 |          0 |         15 |         89 |
| /Users/adamspice/projects/spiceydev/libs/orders/src/test-setup.ts                                                       | TypeScript |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/libs/orders/tsconfig.json                                                           | JSON       |         13 |          0 |          1 |         14 |
| /Users/adamspice/projects/spiceydev/libs/orders/tsconfig.lib.json                                                       | JSON       |         19 |          0 |          1 |         20 |
| /Users/adamspice/projects/spiceydev/libs/orders/tsconfig.spec.json                                                      | JSON       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/libs/products/.eslintrc.json                                                        | JSON       |          3 |         37 |          0 |         40 |
| /Users/adamspice/projects/spiceydev/libs/products/README.md                                                             | Markdown   |          4 |          0 |          4 |          8 |
| /Users/adamspice/projects/spiceydev/libs/products/jest.config.js                                                        | JavaScript |         23 |          0 |          1 |         24 |
| /Users/adamspice/projects/spiceydev/libs/products/src/index.ts                                                          | TypeScript |          5 |          0 |          1 |          6 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/components/categories-banner/categories-banner.component.html | HTML       |         13 |          0 |          1 |         14 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/components/categories-banner/categories-banner.component.ts   | TypeScript |         27 |          0 |          5 |         32 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/components/featured-products/featured-products.component.html | HTML       |          8 |          0 |          1 |          9 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/components/featured-products/featured-products.component.ts   | TypeScript |         30 |          0 |          6 |         36 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/components/product-item/product-item.component.html           | HTML       |         15 |          0 |          1 |         16 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/components/product-item/product-item.component.ts             | TypeScript |         21 |          0 |          5 |         26 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/components/products-search/products-search.component.html     | HTML       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/components/products-search/products-search.component.ts       | TypeScript |         12 |          0 |          5 |         17 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/models/category.ts                                            | TypeScript |          7 |          0 |          1 |          8 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/models/product.ts                                             | TypeScript |         18 |          0 |          2 |         20 |
